,H2,CH4,C2H4,C2H2,C2H6,CO,CO2,O2,N2,TOTALHYDROCARBON
130,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
131,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
132,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
133,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
134,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
135,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
136,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
137,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
138,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
139,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
140,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
141,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
142,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
143,1.411,0.677,0.0,0.0,0.0,4.279,56.39,,,0.677
144,1.411,0.677,0.0,0.0,0.0,4.279,56.39,,,0.677
145,1.411,0.677,0.0,0.0,0.0,4.279,56.39,,,0.677
146,1.411,0.677,0.0,0.0,0.0,4.279,56.39,,,0.677
147,1.411,0.677,0.0,0.0,0.0,4.279,56.39,,,0.677
148,1.411,0.677,0.0,0.0,0.0,4.279,56.39,,,0.677
149,1.411,0.677,0.0,0.0,0.0,4.279,56.39,,,0.677
150,1.411,0.677,0.0,0.0,0.0,4.279,56.39,,,0.677
151,1.307,0.758,0.0,0.0,0.0,3.819,63.693,,,0.758
152,1.307,0.758,0.0,0.0,0.0,3.819,63.693,,,0.758
153,1.268,0.762,0.0,0.0,0.0,3.684,63.797,,,0.762
154,1.268,0.762,0.0,0.0,0.0,3.684,63.797,,,0.762
155,1.268,0.762,0.0,0.0,0.0,3.684,63.797,,,0.762
156,1.268,0.762,0.0,0.0,0.0,3.684,63.797,,,0.762
157,1.268,0.762,0.0,0.0,0.0,3.684,63.797,,,0.762
158,1.268,0.762,0.0,0.0,0.0,3.684,63.797,,,0.762
159,1.268,0.762,0.0,0.0,0.0,3.684,63.797,,,0.762
160,1.268,0.762,0.0,0.0,0.0,3.684,63.797,,,0.762
161,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
162,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
163,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
164,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
165,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
166,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
167,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
168,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
169,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
170,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
171,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
172,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
173,1.253,0.755,0.0,0.0,0.0,3.655,67.035,,,0.755
174,1.241,0.763,0.0,0.0,0.0,3.643,67.916,,,0.763
175,1.241,0.763,0.0,0.0,0.0,3.643,67.916,,,0.763
176,1.241,0.763,0.0,0.0,0.0,3.643,67.916,,,0.763
