,H2,CH4,C2H4,C2H2,C2H6,CO,CO2,O2,N2,TOTALHYDROCARBON
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
155,17.985,10.376,0.349,0.0,0.0,529.967,546.0,,,10.725
156,16.906,9.754,0.328,0.0,0.5,498.169,564.0,,,10.582
157,16.568,9.559,0.321,0.0,0.49,488.206,588.0,,,10.37
158,15.905,9.176,0.309,0.0,0.47,468.678,576.0,,,9.955
159,14.633,8.442,0.284,0.0,0.433,431.183,552.0,,,9.159
160,14.34,8.273,0.278,0.0,0.424,422.56,588.0,,,8.976
161,13.05,7.529,0.253,0.0,0.386,384.529,546.0,,,8.168
162,12.528,7.02,0.243,0.0,0.371,369.148,576.0,,,7.634
163,11.901,7.465,0.231,0.0,0.352,350.691,570.0,,,8.048
164,11.306,8.162,0.219,0.0,0.37,333.156,570.0,,,8.751
165,11.193,8.189,0.217,0.0,0.373,329.825,594.0,,,8.779
166,10.638,8.578,0.206,0.0,0.362,313.465,576.0,,,9.147
167,10.532,9.465,0.204,0.0,0.366,310.331,594.0,,,10.035
168,10.005,9.899,0.194,0.0,0.384,294.814,570.0,,,10.477
169,9.311,10.518,0.181,0.0,0.411,274.354,564.0,,,11.109
170,8.659,10.853,0.168,0.0,0.44,243.797,558.0,,,11.461
171,7.486,10.489,0.145,0.0,0.503,235.121,570.0,,,11.137
172,6.812,9.787,0.126,0.0,0.549,223.708,600.0,,,10.462
173,5.87,10.267,0.13,0.0,0.469,224.55,552.0,,,10.866
174,5.731,9.916,0.127,0.0,0.463,222.902,564.0,,,10.506
175,6.049,9.299,0.119,0.0,0.439,243.023,594.0,,,9.857
176,6.217,10.43,0.12,0.0,0.443,224.3,576.0,,,10.993
177,6.018,11.199,0.132,0.0,0.447,244.713,570.0,,,11.777
178,5.977,11.369,0.138,0.0,0.492,248.351,594.0,,,11.999
179,6.212,10.855,0.142,0.0,0.481,255.124,576.0,,,11.478
180,6.377,12.52,0.141,0.0,0.471,261.702,588.0,,,13.132
181,5.991,11.63,0.132,0.0,0.554,242.211,546.0,,,12.316
182,6.291,12.496,0.15,0.0,0.563,257.859,558.0,,,13.209
183,6.65,13.266,0.166,0.0,0.585,261.983,564.0,,,14.017
184,6.28,11.598,0.139,0.0,0.554,248.02,576.0,,,12.291
185,6.516,12.783,0.16,0.0,0.532,260.565,600.0,,,13.474
186,6.502,12.994,0.155,0.0,0.569,257.292,558.0,,,13.717
187,6.553,13.176,0.157,0.0,0.614,263.679,546.0,,,13.946
188,6.455,12.438,0.148,0.0,0.616,254.223,546.0,,,13.202
189,6.489,12.581,0.154,0.0,0.698,253.273,552.0,,,13.433
190,6.625,12.634,0.155,0.0,0.77,252.627,582.0,,,13.559
191,6.576,12.672,0.155,0.0,0.921,247.11,576.0,,,13.748
192,6.5,12.59,0.163,0.0,0.961,250.147,600.0,,,13.714
193,6.692,13.175,0.165,0.0,0.903,257.985,594.0,,,14.244
